"dateOfActivity","description","imageStampURL","wbmURL","backupURL"
"2002-02-15","Stinkky Corpse made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2002/2002-06/20020606-2.png","https://web.archive.org/web/20020606170024/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID9&mm=5&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2002/2002-06/20020606-2.html"
"2002-02-16","Berek made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2002/2002-06/20020606-2.png","https://web.archive.org/web/20020606170024/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID9&mm=5&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2002/2002-06/20020606-2.html"
"2002-02-16","Salina made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2002/2002-06/20020606-2.png","https://web.archive.org/web/20020606170024/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID9&mm=5&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2002/2002-06/20020606-2.html"
"2002-02-17","Bloodbane made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2002/2002-06/20020606-2.png","https://web.archive.org/web/20020606170024/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID9&mm=5&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2002/2002-06/20020606-2.html"
"2002-02-18","Oliver Holmes made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2002/2002-06/20020606-2.png","https://web.archive.org/web/20020606170024/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID9&mm=5&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2002/2002-06/20020606-2.html"
"2002-02-19","Zagum_Archvile made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2002/2002-06/20020606-2.png","https://web.archive.org/web/20020606170024/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID9&mm=5&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2002/2002-06/20020606-2.html"
"2002-02-19","Bloodbane made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2002/2002-06/20020606-2.png","https://web.archive.org/web/20020606170024/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID9&mm=5&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2002/2002-06/20020606-2.html"
"2002-02-20","Wufnu_ made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2002/2002-06/20020606-0.png","https://web.archive.org/web/20020606112557/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID2&conf=DCConfID1","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2002/2002-06/20020606-0.html"
"2002-02-20","Salina made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2002/2002-06/20020606-2.png","https://web.archive.org/web/20020606170024/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID9&mm=5&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2002/2002-06/20020606-2.html"
"2002-02-20","Salina made a forum post","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/timestamps/2002/2002-06/20020606-2.png","https://web.archive.org/web/20020606170024/http://www.undeadlords.net/cgi-bin/dcforum/dcboard.cgi?az=list&forum=DCForumID9&mm=5&archive=","https://github.com/Undead-Lords/udl-wbm-forum-archive/blob/main/archive/backups/2002/2002-06/20020606-2.html"
